rule_id,message,file,line,col,Annotator_1,Annotator_2,Resolution,Resolution comment,comment_1,comment_2
DO,"Trans_13=tensor(vg*va.dag(),qutip.identity(nph))",lindblad2_e6aa3c.py,85.0,1,FP,,,,it matches qutip.identity instead of the qiskit iden() api,
DO,"Trans_13=tensor(vg*va.dag(),qutip.identity(nph))",main_973bb1.py,85.0,1,FP,,,,it matches qutip.identity instead of the qiskit iden() api,
DO,"H_0 = sum([pauli_x(i, -1/2) for i in range(n_qubits)], identity)",qc_env_qs_a852d7.py,69.0,1,FP,,,,it matches a user defined identiy variable,
DO,middle.iden(0),4_qbits_decoherence_9bbc1f.py,67.0,1,TP,,,,the project has no requirements.txt it is a group of notebooks,
DO,return identity(2**qubits_no).toarray(),functions_a90bd8.py,15.0,1,FP,,,,it matches scipy identity API,
DO,"            isinstance(dividend, QuantumRegister) and \",divide_e6ac2b.py,31.0,1,FP,,,,it matched a variable containing the substring but not related even semantically,
DO,"        sub(dividend, divisor, qc)",operationsadvance_899536.py,18.0,1,FP,,,,it matched a variable containing the substring but not related even semantically,
DO,circuit.iden(q[0]),01_classical_and_quantum_probability_distributions_411e21.py,192.0,1,TP,,,,the project has no requirements.txt it is a group of notebooks,
DO,print('Not all keys are identical. This should not happen unless somebody is listening to the communication!'),task_3_4b4e03.py,69.0,1,FP,,,,matches a string literal,
DO,circuit.iden(qr[i]),022_03b_bernstein_vazirani_algorithm_f13ae3.py,39.0,1,TP,,,,the project has no requirements.txt it is a group of notebooks,
IG,"                diff = abs(result_count.get(key, 0) - expected_count.get(key, 0))",test_passmanager_2e93dc.py,42.0,1,FP,,,,"a custom gate is correctly defined, and the warning is on the Circuit",
IG,b_not_pos = [9],debug_1d97dc.py,147.0,1,FP,,,,pointing to line unrelated to custom gates,
IG,qc = QuantumCircuit(2),anyrotation_5df51b.py,10.0,1,FP,,,,"a custom gate is correctly defined, and the warning is on the Circuit",
IG,"    iqft = QFT(num_qubits=p, inverse=True).to_gate(label='iQFT')",quantum_counting_c7a899.py,99.0,1,FP,,,,use of the to_gate() API to go from circuit to gate,
IG,counts = result.get_counts(circuit),custom_gate_5fd506.py,66.0,1,FP,,,,"pointing to get_count() of result, the circuit has custom gates but they are used correctly via unitary( with matrix)",
