Tool,Severity,Code,Location,Line
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (10, 1) and (11, 1)",example_d675c9.py,11
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (10, 1) and (12, 1)
Two consecutive measurements on qubit 'IntegerLiteral' at locations: (11, 1) and (12, 1)",example_d675c9.py,12
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (107, 1) and (108, 1)",02_measurements_and_mixed_states_qiskit_ee25f6.py,108
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (11, 1) and (12, 1)",qubitstates_903372.py,12
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (121, 1) and (123, 1)",computaci_c3_b3n_cu_c3_a1ntica_pr_c3_a1ctica_cs2022_cfd1a4.py,123
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (125, 1) and (135, 1)",measurement_postulate_single_qubit_f_fb7a34.py,135
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (126, 13) and (126, 13)",kmeans_51babb.py,126
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (13, 1) and (18, 1)",quantum_encryption_d57d9a.py,18
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (142, 13) and (142, 13)",elitzur_vaidman_bomb_minefield_26a862.py,142
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (142, 13) and (144, 5)",elitzur_vaidman_bomb_minefield_26a862.py,144
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (162, 1) and (164, 1)",measurement_postulate_single_qubit_f_fb7a34.py,164
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (162, 1) and (165, 1)
Two consecutive measurements on qubit 'IntegerLiteral' at locations: (164, 1) and (165, 1)",measurement_postulate_single_qubit_f_fb7a34.py,165
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (17, 1) and (26, 1)",task_1_bbf4fb.py,26
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (17, 1) and (26, 1)",task_2_4f46b2.py,26
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (18, 1) and (27, 1)",task_3_4b4e03.py,27
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (183, 1) and (197, 1)",prerequisites_d88a6e.py,197
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (185, 1) and (186, 1)",seven_qubit_code_8cb571.py,186
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (22, 5) and (22, 5)",or_with_qubits_17fe47.py,22
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (22, 9) and (22, 9)",bombtester_8c8baa.py,22
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (223, 13) and (223, 13)
Two consecutive measurements on qubit 'IntegerLiteral' at locations: (224, 13) and (223, 13)",shor_7f605e.py,223
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (223, 13) and (224, 13)
Two consecutive measurements on qubit 'IntegerLiteral' at locations: (224, 13) and (224, 13)",shor_7f605e.py,224
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (223, 13) and (227, 9)
Two consecutive measurements on qubit 'IntegerLiteral' at locations: (224, 13) and (227, 9)",shor_7f605e.py,227
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (23, 1) and (30, 1)",hardware_3936ea.py,30
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (259, 13) and (259, 13)
Two consecutive measurements on qubit 'IntegerLiteral' at locations: (260, 13) and (259, 13)",shors_benchmark_365616.py,259
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (259, 13) and (260, 13)
Two consecutive measurements on qubit 'IntegerLiteral' at locations: (260, 13) and (260, 13)",shors_benchmark_365616.py,260
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (26, 1) and (29, 1)",sandbox_e52934.py,29
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (26, 1) and (32, 1)
Two consecutive measurements on qubit 'IntegerLiteral' at locations: (29, 1) and (32, 1)",sandbox_e52934.py,32
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (26, 1) and (35, 1)
Two consecutive measurements on qubit 'IntegerLiteral' at locations: (29, 1) and (35, 1)
Two consecutive measurements on qubit 'IntegerLiteral' at locations: (32, 1) and (35, 1)",sandbox_e52934.py,35
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (27, 1) and (30, 1)",sandbox_e52934.py,30
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (27, 1) and (33, 1)
Two consecutive measurements on qubit 'IntegerLiteral' at locations: (30, 1) and (33, 1)",sandbox_e52934.py,33
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (27, 1) and (36, 1)
Two consecutive measurements on qubit 'IntegerLiteral' at locations: (30, 1) and (36, 1)
Two consecutive measurements on qubit 'IntegerLiteral' at locations: (33, 1) and (36, 1)",sandbox_e52934.py,36
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (28, 9) and (31, 9)",test_circuit_to_dag_5333cb.py,31
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (29, 9) and (32, 9)",test_circuit_to_dag_5333cb.py,32
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (33, 1) and (60, 1)",teleportation_50c827.py,60
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (33, 1) and (60, 1)",teleportation_8f1eaf.py,60
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (331, 1) and (332, 1)",1_probdist_measurement_evolution_practice_e67137.py,332
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (36, 9) and (36, 9)",quantum_k_means_beccb9.py,36
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (37, 1) and (42, 1)",quntum_204_dec_2005_202020_206_2042_20am_16e278.py,42
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (37, 9) and (37, 9)",distance_qiskit_a201b4.py,37
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (38, 5) and (41, 5)",control_flow_circuits_e78e53.py,41
CodeQL,warning,"ql-double-measurement Two consecutive measurements on qubit 'IntegerLiteral' at locations: (40, 5) and (45, 5)",encrpytion_e53b97.py,45
