Tool,Severity,Code,Location,Line
CodeQL,warning,ql-qc-size Circuit 'A' has 0 qubits and 0 classical bits.,utils_6c4393.py,380
CodeQL,warning,ql-qc-size Circuit 'A' has 0 qubits and 0 classical bits.,utils_6c4393.py,427
CodeQL,warning,ql-qc-size Circuit 'A' has 0 qubits and 0 classical bits.,utils_6c4393.py,474
CodeQL,warning,ql-qc-size Circuit 'A' has 0 qubits and 0 classical bits.,utils_6c4393.py,521
CodeQL,warning,ql-qc-size Circuit 'A' has 0 qubits and 1 classical bits.,utils_6c4393.py,61
CodeQL,warning,ql-qc-size Circuit 'ACBC' has 2 qubits and 2 classical bits.,computaci_c3_b3n_cu_c3_a1ntica_en_casa_filo_8236b7.py,538
CodeQL,warning,ql-qc-size Circuit 'ACBF' has 2 qubits and 2 classical bits.,computaci_c3_b3n_cu_c3_a1ntica_en_casa_filo_8236b7.py,545
CodeQL,warning,ql-qc-size Circuit 'ADDER' has 0 qubits and 0 classical bits.,mod_adder_171849.py,123
CodeQL,warning,ql-qc-size Circuit 'ADDER' has 6 qubits and 0 classical bits.,adder_exp_sans_superposition_4b43fe.py,89
CodeQL,warning,ql-qc-size Circuit 'AFBC' has 2 qubits and 2 classical bits.,computaci_c3_b3n_cu_c3_a1ntica_en_casa_filo_8236b7.py,552
CodeQL,warning,ql-qc-size Circuit 'AFBF' has 2 qubits and 2 classical bits.,computaci_c3_b3n_cu_c3_a1ntica_en_casa_filo_8236b7.py,560
CodeQL,warning,ql-qc-size Circuit 'AL1circuit' has 3 qubits and 3 classical bits.,ac1_bd0ef8.py,26
CodeQL,warning,ql-qc-size Circuit 'AL1circuit' has 4 qubits and 4 classical bits.,ac2_6d74db.py,26
CodeQL,warning,ql-qc-size Circuit 'ANSATZ' has 4 qubits and 0 classical bits.,simple_vqe_test_f7e04f.py,17
CodeQL,warning,ql-qc-size Circuit 'AR_qc' has 0 qubits and 0 classical bits.,aes_8fae6e.py,89
CodeQL,warning,ql-qc-size Circuit 'BV' has 0 qubits and 0 classical bits.,bernstein_vazirani_91c6c9.py,12
CodeQL,warning,ql-qc-size Circuit 'Barrier' has 0 qubits and 0 classical bits.,circuit_library_circuits_0a83c2.py,119
CodeQL,warning,ql-qc-size Circuit 'Barrier_circ' has 1 qubits and 1 classical bits.,gates_20overview_44ffd3.py,213
CodeQL,warning,ql-qc-size Circuit 'BayesianQC' has 0 qubits and 1 classical bits.,bstcircuit_58bcbc.py,32
CodeQL,warning,ql-qc-size Circuit 'BlackBoxCircuit' has 2 qubits and 0 classical bits.,deuscht_2fff81.py,14
CodeQL,warning,ql-qc-size Circuit 'C' has 0 qubits and 0 classical bits.,utils_6c4393.py,203
CodeQL,warning,ql-qc-size Circuit 'C' has 0 qubits and 0 classical bits.,utils_6c4393.py,578
CodeQL,warning,ql-qc-size Circuit 'C' has 0 qubits and 1 classical bits.,utils_6c4393.py,112
CodeQL,warning,ql-qc-size Circuit 'C' has 1 qubits and 0 classical bits.,qlassifierst_ba998f.py,58
CodeQL,warning,ql-qc-size Circuit 'C' has 1 qubits and 0 classical bits.,qlassifierst_ba998f.py,71
CodeQL,warning,ql-qc-size Circuit 'C' has 3 qubits and 0 classical bits.,quantum_walks_project_329d10.py,140
CodeQL,warning,ql-qc-size Circuit 'CARRY' has 4 qubits and 0 classical bits.,adder_exp_sans_superposition_4b43fe.py,48
CodeQL,warning,ql-qc-size Circuit 'CARRY' has 4 qubits and 0 classical bits.,mod_adder_171849.py,40
CodeQL,warning,ql-qc-size Circuit 'CS_qc' has 2 qubits and 0 classical bits.,funzioni01_ea2685.py,175
CodeQL,warning,ql-qc-size Circuit 'CX1_qc' has 2 qubits and 0 classical bits.,trott_cb8f81.py,107
CodeQL,warning,ql-qc-size Circuit 'CX1_qc' has 2 qubits and 0 classical bits.,trott_5d3519.py,107
CodeQL,warning,ql-qc-size Circuit 'CX2_qc' has 2 qubits and 0 classical bits.,trott_cb8f81.py,118
CodeQL,warning,ql-qc-size Circuit 'CX2_qc' has 2 qubits and 0 classical bits.,trott_5d3519.py,118
CodeQL,warning,ql-qc-size Circuit 'CX3_qc' has 2 qubits and 0 classical bits.,trott_cb8f81.py,128
CodeQL,warning,ql-qc-size Circuit 'CX3_qc' has 2 qubits and 0 classical bits.,trott_5d3519.py,128
