problem_id,url,snippet,experiment,present_in_last_experiment,unique_id,line,date_found,analysis_results,detector_rule,summary,more_info,intended_behavior,triage,problem_description,FP_reason,manifestation,status,added_to_test_suite,IDEA,date_reported,API_usage,link_to_issue,developer_reaction,developer comment,component,known_before
08_c4c34f_59,https://github.com/DiracMG3/Circuit-Optimization-for-Hamiltonian-Simulation/blob/e97de3d2fb81b2057a1e45d1be82b8d9444792a3/Paulihedral/real_system.py,"    qc1 = synth_qaoa1(a2, graph=graph, gamma=gamma, beta=beta)
    qc1 = transpile(qc1, basis_gates=['u3', 'cx'], backend=backend, coupling_map=coup, optimization_level=3)
    qc1.measure_all()",exp_v08,,real_system_c4c34f,59,22-mar-23,codeql_2023-03-20_19-13-27,ql-op-after-optimization,"The transpilation lvl 3 might remove final swaps if there is no measurement after it, thus it is necessary to transpile the final circuit only.",The measure_all is added after the transpilation,Chemistry application running a QAOA on a real circuit. Their custom version.,TP,Measure gate added to a transpiled circuit,,silent,reported,,#N/A,22-mar-23,transpile (lv3) + measure,https://github.com/DiracMG3/Circuit-Optimization-for-Hamiltonian-Simulation/issues/1,,,transpilation,
08_c4c34f_64,https://github.com/DiracMG3/Circuit-Optimization-for-Hamiltonian-Simulation/blob/e97de3d2fb81b2057a1e45d1be82b8d9444792a3/Paulihedral/real_system.py,"    qc3 = qiskit_synthesis(a2, graph=graph, gamma=gamma, beta=beta)
    qc3 = transpile(qc3, basis_gates=['u3', 'cx'], backend=backend, coupling_map=coup, optimization_level=3)
    qc3.measure_all()",exp_v08,,real_system_c4c34f,64,22-mar-23,codeql_2023-03-20_19-13-27,ql-op-after-optimization,"The transpilation lvl 3 might remove final swaps if there is no measurement after it, thus it is necessary to transpile the final circuit only.",The measure_all is added after the transpilation,Chemistry application running a QAOA on a real circuit,TP,Measure gate added to a transpiled circuit,,silent,reported,,#N/A,22-mar-23,transpile (lv3) + measure,https://github.com/DiracMG3/Circuit-Optimization-for-Hamiltonian-Simulation/issues/1,,,transpilation,
06_4c9443_11,https://github.com/beaudoco/qiskit-shifting-simulator/blob/5348151514ed2c60619b813b7b0eaad693fd8e59/circuits/circuit_0_5.py,"QX_TOKEN = ""67313723797a8e ...""
IBMQ.enable_account(QX_TOKEN)
provider = IBMQ.get_provider(
    hub='ibm-q-research', group='penn-state-1', project='main')",exp_v06,,circuit_0_5_4c9443,11,13-mar-23,codeql_2023-03-09_12-18-15,ql-token-leakage,They leak a secret in clear,,,TP,BUG: IBMQ token secret leakage,,silent,reported,,#N/A,13-mar-23,leaked secret,https://github.com/beaudoco/qiskit-shifting-simulator/issues/2,,,IBMQ Connection,
08_9232ea_55,https://github.com/JaimePSantos/Dissertation-Tex-Code/blob/15544a4334f61e670d1eeee9849fd168c468863d/Coding/Qiskit/AllSearch/groverFuncs.py,"    qcOracle = oracleGrover(markedListGrover(marked,N),N)
    qcDiffusion = diffusionGrover(N)
    qc.h(range(N))
    for i in range(steps):
        qc.append(qcOracle,range(N))
        qc.barrier()
        qc.append(qcDiffusion,range(N))
        qc.barrier()
    qc = transpile(qc,basis_gates=['cx','u3','u2','u1','id'],backend=backend,optimization_level=3)
    qc.barrier()
    qc.measure(range(N),range(N))",exp_v08,,groverfuncs_9232ea,55,22-mar-23,codeql_2023-03-20_19-13-27,ql-op-after-optimization,The circuit has a measurment added after the tranpilation.,Add mesaruement after the transpilation.,Grover algorithm,TP,Grover algo: measure gate added after transpilation,,silent,reported,,,22-mar-23,transpile,https://github.com/JaimePSantos/Dissertation-Tex-Code/issues/25,,,transpilation,
06_c4c34f_45,https://github.com/DiracMG3/Circuit-Optimization-for-Hamiltonian-Simulation/blob/e97de3d2fb81b2057a1e45d1be82b8d9444792a3/Paulihedral/real_system.py,"qc3 = qiskit_synthesis(a2, graph=graph, gamma=gamma, beta=beta)
    qc3 = transpile(qc3, basis_gates=['u3', 'cx'], backend=backend, coupling_map=coup, optimization_level=3)
    qc3.measure_all()",exp_v06,,real_system_c4c34f,45,6-mar-23,codeql_2023-03-06_13-18-18,ql-op-after-optimization,"The transpilation lvl 3 might remove final swaps if there is no measurement after it, thus it is necessary to transpile the final circuit only. The measurements are not consider in the transpilation. ",The measure_all is added after the transpilation,Chemistry application running a QAOA on a real circuit,TP,Measure gate added to a transpiled circuit,,silent,reported,,#N/A,7-mar-23,transpile (lv3) + measure,https://github.com/DiracMG3/Circuit-Optimization-for-Hamiltonian-Simulation/issues/1,,,transpilation,
06_c4c34f_40,https://github.com/DiracMG3/Circuit-Optimization-for-Hamiltonian-Simulation/blob/e97de3d2fb81b2057a1e45d1be82b8d9444792a3/Paulihedral/real_system.py,"qc1 = synth_qaoa1(a2, graph=graph, gamma=gamma, beta=beta)
    qc1 = transpile(qc1, basis_gates=['u3', 'cx'], backend=backend, coupling_map=coup, optimization_level=3)
    qc1.measure_all()",exp_v06,,real_system_c4c34f,40,6-mar-23,codeql_2023-03-06_13-18-17,ql-op-after-optimization,"The transpilation lvl 3 might remove final swaps if there is no measurement after it, thus it is necessary to transpile the final circuit only.",The measure_all is added after the transpilation,Chemistry application running a QAOA on a real circuit. Their custom version.,TP,Measure gate added to a transpiled circuit,,silent,reported,,#N/A,7-mar-23,transpile (lv3) + measure,https://github.com/DiracMG3/Circuit-Optimization-for-Hamiltonian-Simulation/issues/1,,,transpilation,
06_8c8baa_21,https://github.com/Kylet1699/Quantum-Minesweeper/blob/707e54e42249e7d0ca402f6536a149566cafc952/BombTester.py,"def quantum_sweeper(cycles) -> QuantumCircuit:
    qr = QuantumRegister(3, 'q')
    cr = ClassicalRegister(cycles + 1, 'c')
    qc = QuantumCircuit(qr, cr)
    qc.h(qr[0])
    theta = math.pi/cycles
    for cycle in range(cycles - 1):
        qc.append(RXGate(theta), [qr[1]])
        qc.ccx(qr[0], qr[1], qr[2])
        qc.measure(qr[2], cr[cycle])
        if cycle < cycles - 1:
            qc.reset(qr[2])
    qc.append(RXGate(theta), [qr[1]])
    qc.measure(qr[1], cr[cycles - 1])
    qc.measure(qr[0], cr[cycles])
    return qc
",exp_v06,,bombtester_8c8baa,21,8-mar-23,codeql_2023-03-08_15-15-36,ql-operation-after-measurement,"They run the same circuit multiple times without reinitializing the circuit, it seems to be intended. IDEA: we could raise the alerm operation after measurement when the qubit is not reset after the measure. This example is indeed following this principle, thus it should be a FP. (althought they use a classical condition which might be difficult to detect).","They use the reset() between two measurment, making it legit.","intent: implement a quantum minesweeper variant, the bomb tester component.",FP,,,,,," we could raise the alerm operation after measurement when the qubit is not reset after the measure. This example is indeed following this principle, thus it should be a FP. (althought they use a classical condition which might be difficult to detect).",,mid-circuit measurements,,,,,
06_beccb9_28,https://github.com/benkoehlL/Qiskit_Playground/blob/2a9ede4d0ce3cc9718dccb6ff06538d0ec32824a/quantum_k_means.py,"theta_list = [0.01, 0.02, 0.03, 0.04, 0.05,
                    1.31, 1.32, 1.33, 1.34, 1.35]
qr = QuantumRegister(5,'q')
cr = ClassicalRegister(5, 'c')
qc = QuantumCircuit(qr, cr, name=circuit_name)
# define a loop to compute the distance between each pair of points
for i in range(len(theta_list)-1):
    for j in range(1,len(theta_list)-i):
        # set the parameters theta about different points
        theta_1 = theta_list[i]
        theta_2 = theta_list[i+j]
        qc.h(qr[2])
        qc.h(qr[1])
        qc.h(qr[4])
        qc.u3(theta_1, np.pi, np.pi, qr[1])
        qc.u3(theta_2, np.pi, np.pi, qr[4])
        qc.cswap(qr[2], qr[1], qr[4])
        qc.h(qr[2])

        qc.measure(qr[2], cr[2])
        qc.reset(qr)  # GOOD PRACTICE

        job = execute(qc, backend=backend, shots=1024)
        result = job.result()
        print(result.get_counts())
        print('theta_1: ', theta_1, '\t', 'theta_2: ', theta_2)
plot_histogram(result.get_counts())",exp_v06,,quantum_k_means_beccb9,28,8-mar-23,codeql_2023-03-08_15-15-36,ql-operation-after-measurement,This is another example of good practice where the quantum register is reset after the measurement. IDEA: add this to the test suite when supporting the reset() modeling.,They reuse the same circuit but they corrctly reset the quantum state.,they want to implement the kmeans with quantum circuits. define a loop to compute the distance between each pair of points.,FP,,,,,, add this to the test suite when supporting the reset() modeling.,,mid-circuit measurements,,,,,
06_fd4508_36,https://github.com/CleverCracker/Quantum_Image_Based_Search_Engine/blob/42baeb62714d685a011213fe209cab208154e301/SearchEngine_32x32.py,"for x in range(0, 5):
    qc = QuantumCircuit(targetQubit, ref, original, anc, c)
    qc.initialize(data[index], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 23])
    qc.initialize(data[x], range(12, 24))
    qc.tdg(targetQubit[0])
    qc.h(targetQubit[0])
    for i in range(len(ref)):
        qc.cswap(targetQubit[0], ref[i], original[i])
    qc.h(targetQubit[0])
    qc.tdg(targetQubit[0])
    qc.measure(targetQubit[0], c)",exp_v06,FALSE,searchengine_32x32_fd4508,36,6-mar-23,codeql_2023-03-06_13-18-29,ql-operation-after-measurement,"The loop is correct, each iteration works on a brand new circuit, but the detector doesn't address the initialization. IDEA: this should perhaps became a path detector, similar to the sanitization detectors. ",,,FP,,,,,yes," this should perhaps became a path detector, similar to the sanitization detectors. ",,for loop circuit construction,,,,,
06_fe192c_19,https://github.com/iitis/ec-qaoa-code/blob/5d679759c0f66c4bcda405894699e1dd68e75981/encoding_qubo_decoding_mixture.py,"    qreg = QuantumRegister(n)
    qc_ub, _ = binary_to_unary(qreg, n)
    qc_init = QuantumCircuit(qr)
    init_list = list(range(n))
    new_qc = qc_init + qc_init.compose(qc_ub,init_list)",exp_v06,,encoding_qubo_decoding_mixture_fe192c,19,6-mar-23,codeql_2023-03-06_13-18-10,ql-ghost-composition,"We consider only assignments, but we should we should consider also aritmetic operations with it","There is an arithmetic expression instead of a plain assignement, thus we do not capture it with the current modelling. But it is legit.",encoding of a QUBO problem,FP,,,silent,,yes,#N/A,,compose,,,,,
