bug_id,url,Snippet,experiment,unique_id,line,date_found,analysis_results,detector_rule,API_usage,triage,manifestation,added_to_test_suite,summary,date_reported,is_detector_correct_in_latest_version,bug_description,link_to_issue,developer_reaction,developer comment,component,known_before,status
06_fe192c_,https://github.com/iitis/ec-qaoa-code/blob/5d679759c0f66c4bcda405894699e1dd68e75981/encoding_qubo_decoding_mixture.py,"    qreg = QuantumRegister(n)
    qc_ub, _ = binary_to_unary(qreg, n)
    qc_init = QuantumCircuit(qr)
    init_list = list(range(n))
    new_qc = qc_init + qc_init.compose(qc_ub,init_list)",exp_v06,encoding_qubo_decoding_mixture_fe192c,,6-mar-23,codeql_2023-03-06_13-18-10,ql-ghost-compose,compose,FP,silent,yes,"We consier only assignments, but we should we should consider also aritmetic operations with it",,,,,,,,,
06_f549f9_,https://github.com/LucianoPereiraValenzuela/HEEM/blob/1e74fd7e93aa615dc22feb0052b68e7532e2c1d6/Codes/deprecated/our_VQE.py,return qc.compose(qc_temp) ,exp_v06,our_vqe_f549f9,,6-mar-23,codeql_2023-03-06_13-18-11,ql-ghost-compose,compose,FP,silent,yes,We should remove warnings when qc.compose is used in a return statement,,,,,,,,,
06_13ba80_90,https://github.com/qclib/qclib/blob/ddafadf004cfe79d6086b3874c96a00219bf896d/test/test_mc_gate.py,"def test_linear_toffoli2(self):
        """""" Testing Toffoli control 110""""""
        gate_x = np.array([[0, 1], [1, 0]])        
        circuit2 = qiskit.QuantumCircuit(4)
        circuit2.x(2)
        circuit2.x(3)
        circuit2.x(0)
        state1 = qclib.util.get_state(circuit2)
        circuit = qiskit.QuantumCircuit(4)
        mc_gate(gate_x, circuit, [3, 2, 1], 0)
        circuit2.compose(circuit, circuit2.qubits)
        state2 = qclib.util.get_state(circuit2)",exp_v06,test_mc_gate_13ba80,90,6-mar-23,codeql_2023-03-06_13-18-12,ql-ghost-compose,compose,TP,silent,,"Ghost compose() call, ignored statement. the statement compose is lost because its return value is not used. ",6-mar-23,,BUG: ghost compose in test_ldmcu (A),https://github.com/qclib/qclib/issues/139,,,testing,,fixed: https://github.com/qclib/qclib/pull/140
06_13ba80_107,https://github.com/qclib/qclib/blob/ddafadf004cfe79d6086b3874c96a00219bf896d/test/test_mc_gate.py,"def test_linear_toffoli1(self):
        """""" Testing Toffoli control 100""""""
        gate_x = np.array([[0, 1], [1, 0]])
        circuit2 = qiskit.QuantumCircuit(4)
        circuit2.x(2)
        state1 = qclib.util.get_state(circuit2)
        circuit = qiskit.QuantumCircuit(4)
        mc_gate(gate_x, circuit, [0, 1, 2], 3)
        circuit2.compose(circuit, circuit2.qubits)
        state2 = qclib.util.get_state(circuit2)
        self.assertTrue(np.allclose(state1, state2))",exp_v06,test_mc_gate_13ba80,107,6-mar-23,codeql_2023-03-06_13-18-13,ql-ghost-compose,compose,TP,silent,,"Ghost compose() call, ignored statement. the statement compose is lost because its return value is not used and the inplace=true is not set.",6-mar-23,,BUG: ghost compose in test_ldmcu (B),https://github.com/qclib/qclib/issues/139 ,,,testing,,fixed: https://github.com/qclib/qclib/pull/140
06_e6a6d7_,https://github.com/Cryoris/notebooks/blob/7d04b5470e245c1d060a3eb73b5fbce9ee1f85f4/QFT%20madness.ipynb,textbook = QuantumCircuit(2).compose(rswap).compose(QFT(2)).compose(rswap),exp_v06,qft_20madness_e6a6d7,,6-mar-23,codeql_2023-03-06_13-18-14,ql-ghost-compose,compose,FP,,yes,"The compose is used in a chain of function calls. This should be modelled, perhaps checking that the compose is not in the AST subtree on the right.",,,,,,,,,
06_e94ab1_,https://github.com/Qiskit/platypus/blob/57c19e59c7e87e2000f0c158dc2bb0da42bf90ce/notebooks/quantum-hardware/error-correction-repetition-code.ipynb,qc_init.compose(qc).draw(),exp_v06,error_correction_repetition_code_e94ab1,,6-mar-23,codeql_2023-03-06_13-18-15,ql-ghost-compose,compose,FP,,,"Composed just before the function draw(), we may handle this similarly to the execute() in an ad hoc manner",,,,,,,,,
06_df608f_322,https://github.com/fastflair/Tutorials/blob/ec3cec9ae4219f34f9a9980b3dfc33bad930e1e5/Quantum/ShorDecrypt/Shor.py,"# Apply inverse QFT
        iqft = QFT(len(self._up_qreg), inverse=True)
        circuit.compose(iqft, qubits=self._up_qreg)
        logger.info(summarize_circuits(circuit))
        return circuit",exp_v06,shor_df608f,322,6-mar-23,codeql_2023-03-06_13-18-16,ql-ghost-compose,compose,TP,silent,,"Ghost compose() call, ignored statement. the statement compose is lost because its return value is not used and the inplace=true is not set.",6-mar-23,,BUG: Shor algo: missing insertion of the inverse qft,https://github.com/fastflair/Tutorials/issues/14,,,algorithm,,reported
06_c4c34f_40,https://github.com/DiracMG3/Circuit-Optimization-for-Hamiltonian-Simulation/blob/e97de3d2fb81b2057a1e45d1be82b8d9444792a3/Paulihedral/real_system.py,"qc1 = synth_qaoa1(a2, graph=graph, gamma=gamma, beta=beta)
    qc1 = transpile(qc1, basis_gates=['u3', 'cx'], backend=backend, coupling_map=coup, optimization_level=3)
    qc1.measure_all()",exp_v06,real_system_c4c34f,40,6-mar-23,codeql_2023-03-06_13-18-17,ql-op-after-optimization,transpile (lv3) + measure,TP,silent,,"The transpilation lvl 3 might remove final swaps if there is no measurement after it, thus it is necessary to transpile the final circuit only.",7-mar-23,,,,,,,,
06_c4c34f_45,https://github.com/DiracMG3/Circuit-Optimization-for-Hamiltonian-Simulation/blob/e97de3d2fb81b2057a1e45d1be82b8d9444792a3/Paulihedral/real_system.py,"qc3 = qiskit_synthesis(a2, graph=graph, gamma=gamma, beta=beta)
    qc3 = transpile(qc3, basis_gates=['u3', 'cx'], backend=backend, coupling_map=coup, optimization_level=3)
    qc3.measure_all()",exp_v06,real_system_c4c34f,45,6-mar-23,codeql_2023-03-06_13-18-18,ql-op-after-optimization,transpile (lv3) + measure,TP,silent,,"The transpilation lvl 3 might remove final swaps if there is no measurement after it, thus it is necessary to transpile the final circuit only. The measurements are not consider in the transpilation. ",7-mar-23,,BUG: measurement after transpilation level 3,https://github.com/DiracMG3/Circuit-Optimization-for-Hamiltonian-Simulation/issues/1,,,transpilation,,reported
06_639c75_34,https://github.com/cpbunker/learn_qiskit/blob/08911639eb8fd94b2c5101ccfb24e6385cfc9a27/intro/adder.py,"qc = QuantumCircuit(len(halfadder.qubits), len(halfadder.clbits)); # zeros like
    qc.compose(input_circ, qubits = list(range(len(input_circ.qubits))), clbits = list(range(len(input_circ.clbits))), inplace = True);
    qc.compose(halfadder, qubits = list(range(len(halfadder.qubits))), clbits = list(range(len(halfadder.clbits))), inplace = True);",exp_v06,adder_639c75,34,6-mar-23,codeql_2023-03-06_13-18-19,ql-incompatible-composition,compose,FP,,yes,,,,,,,,,,
